
dot_number,JB Carrier,Carrier,Primary Officer, Insurance,Amount, Trucks , Inspections , Violations , OOS , Crashes ,Driver OOS Rate,Vehicle OOS Rate, MCS150 Drivers , MCS150 Miles , AMPD 
3487141,Yes,Tutash Express INC,Syrahidin Zhaladin Uulu,State National,$1 Million,  156 ,"  1,743 ",  897 ,  227 ,  59 ,2.50%,21.60%,  159 ,"  24,768,137 ","  155,774 "
3330908,Yes,Enlightened Truckers of America LLC,Jugoslav Erceg,Concert Specialty,$1 Million,  260 ,  763 ,  560 ,  202 ,  53 ,8.80%,42.00%,  260 ,"  460,000 ","  1,769 "
2440672,Yes,Keen Cargo INC,Iryna Victory,MS Transverse Specialty,$750k,  105 ,  834 ,  514 ,  166 ,  38 ,3.10%,35.40%,  274 ,"  92,000,000 ","  335,766 "
3666726,Yes,Robertson Trucks LLC,Mukaram Yarasheva,State National,$1 Million,  205 ,  881 ,  382 ,  136 ,  36 ,1.90%,30.30%,  230 ,"  23,500,000 ","  102,174 "
3139125,Yes,Aravan Cargo INC,Sardorbek Akhmedov,Tranverse,$1 Million,  278 ,  794 ,  405 ,  121 ,  36 ,3.30%,25.90%,  278 ,"  44,946,638 ","  161,679 "
753551,Yes,Greatwide American Trans Freight LLC,Matthew Bates,United Specialty,$1 Million,  628 ,  810 ,  450 ,  149 ,  35 ,3.40%,30.80%,  622 ,"  25,398,645 ","  40,834 "
3089095,Yes,Caravan Logistics LLC,Soyunch Orazmuhamedov,Carolina Casualty,$750k,  258 ,  574 ,  346 ,  87 ,  33 ,2.40%,23.30%,  205 ,"  27,984,783 ","  136,511 "
2365562,Yes,Globe Transportation INC,Mominov Bakhtierzhon,State National,$1 Million,  336 ,  672 ,  315 ,  63 ,  31 ,1.40%,18.20%,  345 ,"  31,838,761 ","  92,286 "
2399080,Yes,Dali Transportation LLC ( Prime One),Jurat Takhirov,State National,$1 Million,  350 ,  322 ,  178 ,  37 ,  30 ,1.80%,24.00%,  227 ,"  35,500,000 ","  156,388 "
2124287,Yes,Universe Carrier INC,Viktor Demyaniv,MS Transverse Specialty,$1 Million,  160 ,  695 ,  309 ,  74 ,  28 ,0.70%,19.40%,  167 ,"  10,629,520 ","  63,650 "
3758659,Yes,Ester Cargo INC,Jalloliddin Muhitdinov,State National,$1 Million,  174 ,  208 ,  141 ,  37 ,  27 ,4.00%,33.30%,  185 ,"  18,653,018 ","  100,827 "
1341816,Yes,Orozoco Trucking INC,Konstantin Shaposhnykov,Amtrust,$750k,  497 ,"  1,199 ",  274 ,  49 ,  27 ,1.00%,8.30%,  487 ,"  65,600,000 ","  134,702 "
3782379,Yes,Delo Trans INC,Umytjan Durdyyev,Highlander Specialty,$1 Million,  415 ,  596 ,  354 ,  93 ,  24 ,2.40%,26.30%,  270 ,"  48,568,800 ","  179,884 "
3842928,Yes,Vis INC,Sarvinoz Abduvalieva,MS Transverse Specialty,$1 Million,  421 ,  365 ,  218 ,  66 ,  22 ,4.40%,32.70%,  433 ,"  51,661,753 ","  119,311 "
3628396,Yes,Loadmode LLC,Sunnatillo Abdukhakimov,State National,$1 Million,  172 ,  310 ,  188 ,  51 ,  21 ,2.10%,27.80%,  158 ,"  21,700,000 ","  137,342 "
3953842,Yes,Bilato LLC,Marina Balasanov,State National,$1 Million,  120 ,  223 ,  122 ,  39 ,  20 ,5.00%,29.40%,  71 ,"  8,400,000 ","  118,310 "
3472462,Yes,Alif Uz Corp,Jamshiddin Fazliddinov,State National,$1 Million,  300 ,  361 ,  227 ,  72 ,  20 ,4.60%,32.80%,  300 ,"  34,240,000 ","  114,133 "
3546650,Yes,Fair and Fast Logistics INC,Faridjon Beknazarov,State National,$1 Million,  501 ,  331 ,  200 ,  51 ,  20 ,3.30%,27.10%,  537 ,"  52,268,941 ","  97,335 "
3077362,Yes,Phoenix Cargo LLC (1032 Trucks Online),Samandar Umrzokov,State National,$1 Million,  395 ,  161 ,  89 ,  21 ,  16 ,1.40%,28.90%,  386 ,"  45,194,611 ","  117,084 "
3556385,Yes,Hope Trans LLC,Aishat Magomedova,State National,$1 Million,  65 ,  302 ,  193 ,  70 ,  16 ,5.30%,35.40%,  80 ,"  18,538,652 ","  231,733 "
3945632,Yes,Gold Tree Trans INC,Azamat Orifov,State National,$1 Million,  415 ,  470 ,  226 ,  72 ,  16 ,3.60%,23.30%,  445 ,"  7,000,000 ","  15,730 "
2566250,Yes,Gamboa Logistics INC,Mustafa Emir Yildirim,State National,$1 Million,  236 ,  257 ,  148 ,  34 ,  15 ,3.50%,21.50%,  236 ,"  24,152,572 ","  102,341 "
2839654,Yes,KGZ Transport INC,Medetbek Begmatov,Accredited Specialty,$750k,  135 ,  254 ,  134 ,  39 ,  14 ,2.00%,30.20%,  130 ,"  18,480,000 ","  142,154 "
3519782,Yes,Bitsharp Corporation,Sirozhiddin Akhmedov,MS Transverse Specialty,$1 Million,  259 ,  273 ,  152 ,  44 ,  14 ,4.40%,24.80%,  259 ,"  13,024,674 ","  50,288 "
4008272,Yes,Colibri Holding LLC,Tokhir Shokhiddinov,State National,$1 Million,  220 ,  347 ,  196 ,  53 ,  13 ,3.60%,29.00%,  50 ,"  25,750,000 ","  515,000 "
3703537,Yes,Eder Express Incorporated,Sardarbek Taalaibekov,State National,$1 Million,  208 ,  255 ,  157 ,  46 ,  12 ,5.90%,24.20%,  216 ,"  11,167,025 ","  51,699 "
3992633,Yes,Matizuz LLC,Dilshod Abdurakhmonov,n/a,n/a,  60 ,  85 ,  65 ,  18 ,  11 ,3.50%,39.00%,  60 ,"  8,350,000 ","  139,167 "
3558295,Yes,Iberia Express INC,Rashida,State National,$1 Million,  320 ,  532 ,  239 ,  58 ,  11 ,2.80%,21.20%,  320 ,"  40,076,563 ","  125,239 "
